PRODUCT_ID,MANUFACTURER,DEPARTMENT,BRAND,COMMODITY_DESC
25671,2,GROCERY,National,FRZN ICE
26081,2,MISC. TRANS.,National,NO COMMODITY DESCRIPTION
26093,69,PASTRY,Private,BREAD
26190,69,GROCERY,Private,FRUIT - SHELF STABLE
26355,69,GROCERY,Private,COOKIES/CONES
26426,69,GROCERY,Private,SPICES & EXTRACTS
26540,69,GROCERY,Private,COOKIES/CONES
26601,69,DRUG GM,Private,VITAMINS
26636,69,PASTRY,Private,BREAKFAST SWEETS
26691,16,GROCERY,Private,PNT BTR/JELLY/JAMS
26738,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
26889,32,DRUG GM,National,MAGAZINE
26941,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27021,2,GROCERY,National,AIR CARE
27030,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27152,69,GROCERY,Private,SPICES & EXTRACTS
27158,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27159,69,GROCERY,Private,CHEESE
27160,69,GROCERY,Private,SHORTENING/OIL
27323,69,GROCERY,Private,COFFEE
27334,69,DRUG GM,Private,DIETARY AID PRODUCTS
27346,69,GROCERY,Private,PAPER HOUSEWARES
27404,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27479,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS
27491,69,GROCERY,Private,CHEESE
27503,69,GROCERY,Private,FRUIT - SHELF STABLE
27509,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS
27510,69,GROCERY,Private,VEGETABLES - SHELF STABLE
27522,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27558,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27633,69,GROCERY,Private,HISPANIC
27657,69,GROCERY,Private,CHEESE
27658,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS
27686,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27695,69,GROCERY,Private,DINNER MXS:DRY
27697,69,GROCERY,Private,CONDIMENTS/SAUCES
27732,69,GROCERY,Private,PAPER HOUSEWARES
27735,69,GROCERY,Private,CHEESE
27745,69,GROCERY,Private,PNT BTR/JELLY/JAMS
27754,69,GROCERY,Private,FRZN VEGETABLE/VEG DSH
27760,69,GROCERY,Private,DINNER MXS:DRY
27762,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27764,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27767,69,GROCERY,Private,DINNER MXS:DRY
27812,69,GROCERY,Private,COFFEE
27860,69,GROCERY,Private,BAKING NEEDS
27861,69,GROCERY,Private,VEGETABLES - SHELF STABLE
27864,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS
27894,69,GROCERY,Private,PAPER HOUSEWARES
27923,69,GROCERY,Private,HISPANIC
27925,69,GROCERY,Private,DINNER MXS:DRY
27933,69,GROCERY,Private,ICE CREAM/MILK/SHERBTS
27951,69,MEAT-PCKGD,Private,DINNER SAUSAGE
27958,69,GROCERY,Private,CHEESE
27960,69,GROCERY,Private,FRZN FRUITS
27978,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN
28015,69,GROCERY,Private,HOUSEHOLD CLEANG NEEDS
28018,69,PASTRY,Private,BREAKFAST SWEETS
28041,69,SEAFOOD-PCKGD,Private,SEAFOOD - FROZEN
28102,69,GROCERY,Private,FD WRAPS/BAGS/TRSH BG
28116,69,GROCERY,Private,DRY MIX DESSERTS
28117,69,GROCERY,Private,DRY MIX DESSERTS
28143,69,GROCERY,Private,DRY MIX DESSERTS
28157,69,GROCERY,Private,DINNER MXS:DRY
28158,69,GROCERY,Private,PICKLE/RELISH/PKLD VEG
28165,69,PASTRY,Private,CAKES
28186,69,GROCERY,Private,BAKING MIXES
28192,69,GROCERY,Private,HOUSEHOLD CLEANG NEEDS
28200,69,GROCERY,Private,FD WRAPS/BAGS/TRSH BG
28208,69,GROCERY,Private,DINNER MXS:DRY
28219,69,PRODUCE,Private,POTATOES
28267,69,MEAT-PCKGD,Private,DINNER SAUSAGE
28268,69,GROCERY,Private,BAKED BREAD/BUNS/ROLLS
28272,69,GROCERY,Private,FLUID MILK PRODUCTS
28304,69,GROCERY,Private,SOUP
